Topic area,Label_1,Definition
Safety,Safety index: unsafe feelings index,"The feelings of unsafety map out whether and how often residents aged 15 and older feel unsafe or afraid of crime. Feelings of unsafety are therefore an affective component of behaviour: feelings or an emotional reaction. The index is based on questions from the survey Amsterdam-Amstelland Safety Monitor. The value 100 represents the regional average (Safety Region Amsterdam-Amstelland) in the benchmark year 2021. Each district score shows how the district compares to the regional average in the benchmark year. The index is calculated at district level and is only suitable for a comparison between districts and for following the development of the district score. The higher the score, the more feelings of unsafety. The safety index has its own district classification (VM areas), whereby some districts from the standard district classification have been combined due to small population numbers. If this is the case, the same index score is assigned to both districts, unless there are fewer than 50 respondents to the Safety Monitor in one or both districts."
Socioeconomic status,Social cohesion (1-10),"The score for social cohesion is based on the level of agreement with the following statements: 



*The people in this neighbourhood hardly know one another.



*The people in this neighbourhood have a pleasant relationship.



*I live in a nice neighbourhood where people help each other.



*I feel at home with the people living in this neighbourhood.







The reactions are recoded to report marks. The social cohesion score is the average of the report marks given by respondents of 15 years and older on the four statements.







Numbers are only available for areas with at least 50 respondents. Except for the numbers about buurten, those are a three-year-average based on at least 30 respondents. 







"
Housing,Property: Housing corporation,Number of addresses registered as property of a housing corporation.
Housing,Property: Owner-occupied,Number of addresses registered as property of the occupant.
Housing,Property: Private rent,Number of addresses not registered as property of a housing corporation or the occupant.
Public space,Nuisance: pollution (1-10),"Average answer to the question: 



On a scale of 1 to 10, can you indicate the degree of inconvenience you experience caused by pollution? 







A low score means that you experience a lot of inconvenience and a high score means that you experience little or no inconvenience.







Numbers are only available for areas with at least 20 respondents.







"
Participation,Volunteers (%),Percentage of the population aged 18 and over that do unpaid voluntary work for or through an organization.
Public space,Garbage bins (degree of filling),Percentage of garbage bins that score at least a 'B' for the degree of filling: 'A+' means the garbage bin was empty and a 'D' means it was completely full. A 'B' means the garbage bin was about 80% full.
Public space,Litter (large),"Percentage of places that score at least a 'B' for the presence of large litter. 



The litter is counted in grids of 100m2. The worst spot determines the score: 'A+' stands for no litter at all and a' D' for much litter."
Public space,Playing facilities (1-10),"Average answer to the question: 



What is your opinion on the availability of playing facilities in your neighbourhood? 



1 = very insufficient and 10 = very sufficient 







Numbers are only available for areas with at least 20 respondents."
Land cover,Area agricultural green (ha),Amount of hectares of agricultural green intended for agricultural use
Land cover,Area: % agricultural green,Percentage of agricultural green as a portion of the administrative area
Public space,Area: % buildings,"Percentage of the total surface area that is built on (including all properties).  



"
Public space,Municipality involves the local residents in approach of safety and quality of life in the neighbourhood (% agrees),Percentage of the population (15 years and older) that (totally) agrees with the statement: The municipality involves the neighborhood in the approach of quality of life and safety in the neighbourhood.
Land cover,Area neighbouring green (ha),Amount of hectares of neighbouring green
Land cover,Area: % neighbouring green,Percentage of neighbouring green as a portion of the administrative area
Public space,Average cycle or walking distance to park-like green (m),Average cycle or walking distance in meters over the road between houses and the nearest entrance of city parks and nature parks larger than 1 hectare.
Public space,Green spaces (1-10),"Average answer to the question: 



What is your opinion on the availability of green spaces in your neighbourhood? 



1 = very insufficient and 10 = very sufficient 







Numbers are only available for areas with at least 20 respondents."
Public space,Options for offering bulky waste (% satisfied),"Percentage of the population (15 years and older) that is satisfied with the options for offering bulky waste in the neighbourhood.







Numbers are only available for areas with at least 50 respondents."
Public space,Options for offering household waste (% satisfied),"Percentage of the population (15 years and older) that is satisfied with the options for offering household waste in the neighbourhood.







Numbers are only available for areas with at least 50 respondents."
Public space,Area land (ha),Land area in hectares (= total surface area minus inland water)
Land cover,% Area land (ha),Percentage Land area in hectares (= total surface area minus inland water)
Public space,Street lighting (% satisfied),"Percentage of the population (15 years and older) that is satisfied with the street lighting in the neighbourhood.







Numbers are only available for areas with at least 50 respondents."
Land cover,Area natural green (ha),Amount of hectares of natural green with high ecological value
Land cover,Area: % natural green,Percentage of natural green as a portion of the administrative area
Public space,Maintenance green spaces  (1-10),"Average answer to the question: 



How would you assess the maintenance of green spaces in your neighbourhood? 



1 = very insufficient and 10 = very sufficient.







Numbers are only available for areas with at least 20 respondents."
Public space,Maintenance playing facilities  (1-10),"Average answer to the question: 



How would you assess the maintenance of playing facilities in your neighbourhood? 



1 = very insufficient and 10 = very sufficient.







Numbers are only available for areas with at least 20 respondents."
Public space,Maintenance streets and pavements  (1-10),"Average answer to the question: 



How would you assess the maintenance of streets and pavements in your neighbourhood? 



1 = very insufficient and 10 = very sufficient.







Numbers are only available for areas with at least 20 respondents."
Housing,Property: % Housing corporation,Percentage of the housing stock registered as property of a housing corporation.
Public space,Area total (ha),Total surface area in hectares
Land cover,Area private green (ha),"Amount of hectares of green in private space, like gardens."
Land cover,Area: %  private green,Percentage of green in private areas as a portion of the administrative area
Public space,Area public green (ha),"Number of hectares of living green in public areas (including agricultural and natural terrain) 



"
Public space,Area: % green,"Percentage of the total surface area that is living green in public areas (including agricultural and natural terrain). 



"
Land cover,Area recreative green (ha),Amount of hectares of recreative green
Land cover,Area: %  recreative green,Percentage of recreative green as a portion of the administrative area
Public space,Separation options for waste (% satisfied),"Percentage of the population (15 years and older) that is satisfied with the separation options for waste in the neighbourhood. 







Numbers are only available for areas with at least 50 respondents."
Public space,Neighbourhood clean (%),"Percentage of the population (15 years and older) that considers the neighborhood to be (very) clean. 



Numbers are only available for areas with at least 50 respondents."
Public space,Clean-up state green spaces  (1-10),"Average answer to the question: 



How would you assess the  clean-up state of green spaces in your neighbourhood? 



1 = very insufficient and 10 = very sufficient







Numbers are only available for areas with at least 20 respondents."
Public space,Clean-up state playing facilities  (1-10),"Average answer to the question: 



How would you assess the  clean-up state of playing facilities in your neighbourhood? 



1 = very insufficient and 10 = very sufficient







Numbers are only available for areas with at least 20 respondents."
Public space,Clean-up state  streets and pavements (1-10),"Average answer to the question: 



How would you assess the clean-up state of streets and pavements in your neighbourhood? 



1 = very insufficient and 10 = very sufficient







Numbers are only available for areas with at least 20 respondents."
Public space,People density index,"The people density index: Number of people per hectare public space on a average day of the year. The index value 100 stands for the average value in Amsterdam in 2014.







Counted are: residents, employees, students and visitors



Visitors are visitors of: hotels, Airbnb, library, family and friends, sports, hospitals, work visitors, museums, attractions, theatre, touring boats, shopping streets, markets, parks, trains, P+R, ferries.



Not counted: traffic"
Public space,Density: visitors,"Percentage of visitors in the number of people per hectare public space on a average day of the year. 







People counted for the People density index are: residents, employees, students and visitors.







Visitors are visitors of: hotels, Airbnb, library, family and friends, sports, hospitals, work visitors, museums, attractions, theatre, touring boats, shopping streets, markets, parks, trains, P+R, ferries.



Not counted: traffic"
Public space,Density: students,"Percentage of students in the number of people per hectare public space on a average day of the year. 







People counted for the People density index are: residents, employees, students and visitors.







Visitors are visitors of: hotels, Airbnb, library, family and friends, sports, hospitals, work visitors, museums, attractions, theatre, touring boats, shopping streets, markets, parks, trains, P+R, ferries.



Not counted: traffic"
Public space,Density: employees,"Percentage of employees in the number of people per hectare public space on a average day of the year. 







People counted for the People density index are: residents, employees, students and visitors."
Public space,Density: people,"Percentage of residents in the number of people per hectare public space on a average day of the year. 







People counted for the People density index are: residents, employees, students and visitors."
Public space,Neighbourhood dirty (%),"Percentage of the population (15 years and older) that considers the neighborhood to be (very) dirty.



Numbers are only available for areas with at least 50 respondents."
Public space,Area water (ha),Number of hectares inland water
Public space,Area: % water,Percentage of the total surface area that is water.
Well-being and youth care,> 1x month cannabis (% 4th grade),"Percentage of 4th graders that use cannabis at least once a month







Numbers relate to a school year. The stated reference year is the year in which the school year ends."
Work,Income: employee (18-74),Percentage of the population aged 18 to74 that is an employee.
Work,Income: entrepeneur (18-74%),"Percentage of the population aged 18 to74 that is an entrepeneur (self employed, major stockholder, working in family business)."
Participation,Works for issue in neighbourhood / city (%),"Percentage of the population aged 18 and over that contributed to the city over the past 12 month.



Examples of a contributing: efforts (alone or with others) for or against a local issue, such as nuisance, parking spaces or parking problems."
Participation,Informal help (%),"Percentage of the population aged 18 and over that gave (sometimes / often) informal help in the past 12 months







Informal help is assistance to someone outside the household without the mediation of an organization or association. Examples are doing food shopping for a neighbour or babysitting the children of a family member."
Participation,Very lonely (%),"Percentage of the population aged 19 and over that score (very) lonely on the scale of De Jong-Gierveld







The Loneliness Scale consists of 11 items about emotional and social loneliness. If a person answers 3 times or more 'more or less' or 'yes' the person is considered lonely."
Participation,Very lonely 65+ (%),"Percentage of the population aged 65 and over that score (very) lonely on the scale of De Jong-Gierveld







The Loneliness Scale consists of 11 items about emotional and social loneliness. If a person answers 3 times or more 'more or less' or 'yes' the person is considered lonely."
Work,Income: social security (18-74%),"Percentage of the population aged 18 to74 that receives social security (welfare, unemployment benefits,  disability benefits and other social benefits)."
Participation,Weekly contact neighbours (%),"Percentage of the population aged 18 and over that are in contact (i.e. meetings, contacts by telephone or in writing, e-mail etc.) with their neighbours at least once a week"
Participation,Weekly contact other local residents (%),"Percentage of the population aged 18 and over that are in contact (i.e. meetings, contacts by telephone or in writing, e-mail etc.) with other local residents than their neighbours at least once a week"
Participation,Contact neighbourhood (1-10),"Average answer to the question: 



To what degree are you in contact with your fellow neighbourhood residents? 



1 = not at all and 10 = very much 







Numbers are only available for areas with at least 20 respondents."
Work,Income: pension (18-74%),Percentage of the population aged 18 to74 that receives  a pension income.
Work,Income: study (%18-74),"Percentage of the population aged 18 to74 that goes to school or follows a study, also when combined with a job."
Well-being and care,Health: % (very) good,Percentage of the population aged 19 and over that describe their own health in general as (very) good.
Well-being and care,Health: % (very) good 65+,Percentage of the population aged 65 and over that describe their own health in general as (very) good.
Work,Income: none (%18-74),Percentage of the population aged 18 to74 that has no income.
Work,Employment rate total,The employment rate is the percentage of the population aged 15 to 74  with paid employment for at least 1 hour per week.
Well-being and care,Health: % physical impairment,"Percentage of the population aged 18 and over with a physical impairment and have severe trouble with at least 1 of 7 activities that concerns hearing, seeing or moving"
Well-being and care,Health: % impairment daily activities 65+,Percentage of the population aged 65 and over with 1 or more limitations in daily life activities
Work,Employment rate women,The employment rate for women is the percentage of women aged 15 to 74  with paid employment for at least 1 hour per week.
Work,Employment rate 15-26 yrs.,The employment rate for 15 to 26 year-olds is the percentage of the population aged 15 to 26  with paid employment for at least 1 hour per week.
Participation,People help each other (1-10),"Average answer to the question: 



Do people help each other in your neighbourhood? 



1 = never and 10 = very often 







Numbers are only available for areas with at least 20 respondents."
Work,Gross labour participation 15-26 yrs. (%).,"The gross labour participation for youth is the percentage of the population aged 15 to 26 that are part of the labour force







The labour force consists of all people with paid employment for at least 1 hour per week and all people without employment but actively looking and immediately available for work."
Work,Unemployment (%),"Percentage of the labour force aged 15 to 74 without employment







The labour force consists of all people with paid employment for at least 1 hour per week and all people without employment but actively looking and immediately available for work."
Participation,People help each other (1-10),"Average answer to the question: 



Do people help each other in your neighbourhood? 



1 = never and 10 = very often 







Numbers are only available for areas with at least 20 respondents."
Participation,Relating to religion (%),Percentage of the population aged 18 and over that is religious or has affinity with a religious group or philosophical way of life
Participation,Visits (occasionally ) place of worship (%),"Percentage of the population aged 18 and over that (occasionally) go to church, mosque or religious meetings"
Work,Registered unemployment,"Number of registered unemployed people aged 15 to 65







These are people that receive one of the following allowances:



*social welfare (wwb levensonderhoud, wwb bbz, oiaw ioaz)



*partially (<80%) unfit for work (AO)



*unemployment law (WW)







Numbers are only available for areas with at least 25 registered unemployed inhabitants."
Work,Registered unemployment (%),"The registered unemployment is the percentage of the population aged 15 to 65 that receive one of the following allowances:



*social welfare (wwb levensonderhoud, wwb bbz, oiaw ioaz)



*partially (<80%) unfit for work (AO)



*unemployment law (WW).







Numbers are only available for areas with at least 25 registered unemployed inhabitants."
Work,Youth unemployment (%),"Percentage of the labour force aged 15 to 26 that is unemployed 







The labour force consists of all people with paid employment for at least 1 hour per week and all people without employment but actively looking and immediately available for work."
Work,Participation (%),"Percentage of the population aged 19 to 64 that work as a volunteer, give informal care and /or follow an education."
Work,Gross labour participation total (%).,The gross labour participation is the percentage of the population aged 15 to 74 that are part of the labour force
Socioeconomic status,SES,"Average score of inhabitants on a 2 to 10 scale for socio-economic status (SES).







Each inhabitant scores 1 to 5 points for their level of education and 1 tot 5 points for their standardised household income. Children up to and including 17 years have the same score as their highest educated parent. For students from 18 through 29 years the income level is left out of account and their education level is rated on a scale from 2 to 10."
Socioeconomic status,SES low,"Number of inhabitants with a low score (2 to 4) on a 2 to 10 scale for socio-economic status (SES).







Each inhabitant scores 1 to 5 points for their level of education and 1 tot 5 points for their standardised household income. Children up to and including 17 years have the same score as their highest educated parent. For students from 18 through 29 years the income level is left out of account and their education level is rated on a scale from 2 to 10."
Socioeconomic status,SES midrange,"Number of inhabitants with a midrange score (5 to 7) on a 2 to 10 scale for socio-economic status (SES).







Each inhabitant scores 1 to 5 points for their level of education and 1 tot 5 points for their standardised household income. Children up to and including 17 years have the same score as their highest educated parent. For students from 18 through 29 years the income level is left out of account and their education level is rated on a scale from 2 to 10."
Socioeconomic status,SES high,"Number of inhabitants with a high score (8 to 10) on a 2 to 10 scale for socio-economic status (SES).







Each inhabitant scores 1 to 5 points for their level of education and 1 tot 5 points for their standardised household income. Children up to and including 17 years have the same score as their highest educated parent. For students from 18 through 29 years the income level is left out of account and their education level is rated on a scale from 2 to 10."
Socioeconomic status,SES low (%),"Percentage of inhabitants with a low score (2 to 4) on a 2 to 10 scale for socio-economic status (SES).







Each inhabitant scores 1 to 5 points for their level of education and 1 tot 5 points for their standardised household income. Children up to and including 17 years have the same score as their highest educated parent. For students from 18 through 29 years the income level is left out of account and their education level is rated on a scale from 2 to 10."
Socioeconomic status,SES midrange (%),"Percentage of inhabitants with a midrange score (5 to 7) on a 2 to 10 scale for socio-economic status (SES).







Each inhabitant scores 1 to 5 points for their level of education and 1 tot 5 points for their standardised household income. Children up to and including 17 years have the same score as their highest educated parent. For students from 18 through 29 years the income level is left out of account and their education level is rated on a scale from 2 to 10."
Socioeconomic status,SES high (%),"Percentage of inhabitants with a high score (8 to 10) on a 2 to 10 scale for socio-economic status (SES).







Each inhabitant scores 1 to 5 points for their level of education and 1 tot 5 points for their standardised household income. Children up to and including 17 years have the same score as their highest educated parent. For students from 18 through 29 years the income level is left out of account and their education level is rated on a scale from 2 to 10."
Socioeconomic status,SES low 0-17,"Number of inhabitants aged 0 to 17 years with a low score (2 to 4) on a 2 to 10 scale for socio-economic status (SES).







Each inhabitant scores 1 to 5 points for their level of education and 1 tot 5 points for their standardised household income. Children up to and including 17 years have the same score as their highest educated parent. For students from 18 through 29 years the income level is left out of account and their education level is rated on a scale from 2 to 10."
Socioeconomic status,SES low (% 0-17),"Percentage of the inhabitants aged 0 to 17 years with a low score (2 to 4) on a 2 to 10 scale for socio-economic status (SES).







Each inhabitant scores 1 to 5 points for their level of education and 1 tot 5 points for their standardised household income. Children up to and including 17 years have the same score as their highest educated parent. For students from 18 through 29 years the income level is left out of account and their education level is rated on a scale from 2 to 10."
Socioeconomic status,SES low 18-26,"Number of inhabitants aged 18 to 26 years with a low score (2 to 4) on a 2 to 10 scale for socio-economic status (SES).







Each inhabitant scores 1 to 5 points for their level of education and 1 tot 5 points for their standardised household income. Children up to and including 17 years have the same score as their highest educated parent. For students from 18 through 29 years the income level is left out of account and their education level is rated on a scale from 2 to 10."
Socioeconomic status,SES low (% 18-26),"Percentage of the inhabitants aged 18 to 26 years with a low score (2 to 4) on a 2 to 10 scale for socio-economic status (SES).







Each inhabitant scores 1 to 5 points for their level of education and 1 tot 5 points for their standardised household income. Children up to and including 17 years have the same score as their highest educated parent. For students from 18 through 29 years the income level is left out of account and their education level is rated on a scale from 2 to 10."
Socioeconomic status,SES low 27-65,"Number of inhabitants aged 27 to 65 years with a low score (2 to 4) on a 2 to 10 scale for socio-economic status (SES).







Each inhabitant scores 1 to 5 points for their level of education and 1 tot 5 points for their standardised household income. Children up to and including 17 years have the same score as their highest educated parent. For students from 18 through 29 years the income level is left out of account and their education level is rated on a scale from 2 to 10."
Socioeconomic status,SES low (%27-65),"Percentage of the inhabitants aged 27 to 65 years with a low score (2 to 4) on a 2 to 10 scale for socio-economic status (SES).







Each inhabitant scores 1 to 5 points for their level of education and 1 tot 5 points for their standardised household income. Children up to and including 17 years have the same score as their highest educated parent. For students from 18 through 29 years the income level is left out of account and their education level is rated on a scale from 2 to 10."
Socioeconomic status,SES low 66+,"Number of inhabitants aged 66 years or more with a low score (2 to 4) on a 2 to 10 scale for socio-economic status (SES).







Each inhabitant scores 1 to 5 points for their level of education and 1 tot 5 points for their standardised household income. Children up to and including 17 years have the same score as their highest educated parent. For students from 18 through 29 years the income level is left out of account and their education level is rated on a scale from 2 to 10."
Socioeconomic status,SES low (%66+),"Percentage of the inhabitants aged 66 years or more with a low score (2 to 4) on a 2 to 10 scale for socio-economic status (SES).







Each inhabitant scores 1 to 5 points for their level of education and 1 tot 5 points for their standardised household income. Children up to and including 17 years have the same score as their highest educated parent. For students from 18 through 29 years the income level is left out of account and their education level is rated on a scale from 2 to 10."
Socioeconomic status,Most vulnerable,"Estimate of the number of most vulnerable inhabitants based on their Vulnerability Score.







The Vulnerability Score has a value between 0 and 4 and stands for the number of resources for which a person scores vulnerable (job, education, income and health). People with a Vulnerability Score of 3 or 4 are categorized as most vulnerable. They score low for at least three of the following indicators:



*standardized disposable household income in the lowest 20% of The Netherlands



*health expenditures above average, a heath related income supplement and / or sheltered accommodation



* 0-17 years: parents vulnerable for work, education and/or health



*18+: low education



*18-65: no job and not studying



*66+: living alone while vulnerable for health, or living with a partner with a vulnerable health."
Socioeconomic status,Most vulnerable (%),"Estimate of the percentage of most vulnerable inhabitants based on their Vulnerability Score.







The Vulnerability Score has a value between 0 and 4 and stands for the number of resources for which a person scores vulnerable (job, education, income and health). People with a Vulnerability Score of 3 or 4 are categorized as most vulnerable. They score low for at least three of the following indicators:



*standardized disposable household income in the lowest 20% of The Netherlands



*health expenditures above average, a heath related income supplement and / or sheltered accommodation



* 0-17 years: parents vulnerable for work, education and/or health



*18+: low education



*18-65: no job and not studying



*66+: living alone while vulnerable for health, or living with a partner with a vulnerable health."
Socioeconomic status,Most vulnerable (%),"Estimate of the percentage of most vulnerable inhabitants based on their Vulnerability Score.







The Vulnerability Score has a value between 0 and 4 and stands for the number of resources for which a person scores vulnerable (job, education, income and health). People with a Vulnerability Score of 3 or 4 are categorized as most vulnerable. They score low for at least three of the following indicators:



*standardized disposable household income in the lowest 20% of The Netherlands



*health expenditures above average, a heath related income supplement and / or sheltered accommodation



* 0-17 years: parents vulnerable for work, education and/or health



*18+: low education



*18-65: no job and not studying



*66+: living alone while vulnerable for health, or living with a partner with a vulnerable health."
Socioeconomic status,Most vulnerable (%),"Estimate of the percentage of most vulnerable inhabitants based on their Vulnerability Score.







The Vulnerability Score has a value between 0 and 4 and stands for the number of resources for which a person scores vulnerable (job, education, income and health). People with a Vulnerability Score of 3 or 4 are categorized as most vulnerable. They score low for at least three of the following indicators:



*standardized disposable household income in the lowest 20% of The Netherlands



*health expenditures above average, a heath related income supplement and / or sheltered accommodation



* 0-17 years: parents vulnerable for work, education and/or health



*18+: low education



*18-65: no job and not studying



*66+: living alone while vulnerable for health, or living with a partner with a vulnerable health."
Socioeconomic status,Most vulnerable 0-17,"Estimate of the number of 0 to 17 year olds that are most vulnerable, based on their Vulnerability Score.







The Vulnerability Score has a value between 0 and 4 and stands for the number of resources for which a person scores vulnerable (job, education, income and health). People with a Vulnerability Score of 3 or 4 are categorized as most vulnerable. They score low for at least three of the following indicators:



*standardized disposable household income in the lowest 20% of The Netherlands



*health expenditures above average, a heath related income supplement and / or sheltered accommodation



* 0-17 years: parents vulnerable for work, education and/or health



*18+: low education



*18-65: no job and not studying



*66+: living alone while vulnerable for health, or living with a partner with a vulnerable health."
Socioeconomic status,Most vulnerable (% 0-17),"Estimate of the percentage of 0 to 17 year olds that are most vulnerable, based on their Vulnerability Score.







The Vulnerability Score has a value between 0 and 4 and stands for the number of resources for which a person scores vulnerable (job, education, income and health). People with a Vulnerability Score of 3 or 4 are categorized as most vulnerable. They score low for at least three of the following indicators:



*standardized disposable household income in the lowest 20% of The Netherlands



*health expenditures above average, a heath related income supplement and / or sheltered accommodation



* 0-17 years: parents vulnerable for work, education and/or health



*18+: low education



*18-65: no job and not studying



*66+: living alone while vulnerable for health, or living with a partner with a vulnerable health."
Socioeconomic status,Most vulnerable 18-26,"Estimate of the number of 18 to 26 year olds that are most vulnerable, based on their Vulnerability Score.







The Vulnerability Score has a value between 0 and 4 and stands for the number of resources for which a person scores vulnerable (job, education, income and health). People with a Vulnerability Score of 3 or 4 are categorized as most vulnerable. They score low for at least three of the following indicators:



*standardized disposable household income in the lowest 20% of The Netherlands



*health expenditures above average, a heath related income supplement and / or sheltered accommodation



* 0-17 years: parents vulnerable for work, education and/or health



*18+: low education



*18-65: no job and not studying



*66+: living alone while vulnerable for health, or living with a partner with a vulnerable health."
Socioeconomic status,Most vulnerable (% 18-26),"Estimate of the percentage of 18 to 26 year olds that are most vulnerable, based on their Vulnerability Score.







The Vulnerability Score has a value between 0 and 4 and stands for the number of resources for which a person scores vulnerable (job, education, income and health). People with a Vulnerability Score of 3 or 4 are categorized as most vulnerable. They score low for at least three of the following indicators:



*standardized disposable household income in the lowest 20% of The Netherlands



*health expenditures above average, a heath related income supplement and / or sheltered accommodation



* 0-17 years: parents vulnerable for work, education and/or health



*18+: low education



*18-65: no job and not studying



*66+: living alone while vulnerable for health, or living with a partner with a vulnerable health."
Socioeconomic status,Most vulnerable 27-65,"Estimate of the number of 27 to 65 year olds that are most vulnerable, based on their Vulnerability Score.







The Vulnerability Score has a value between 0 and 4 and stands for the number of resources for which a person scores vulnerable (job, education, income and health). People with a Vulnerability Score of 3 or 4 are categorized as most vulnerable. They score low for at least three of the following indicators:



*standardized disposable household income in the lowest 20% of The Netherlands



*health expenditures above average, a heath related income supplement and / or sheltered accommodation



* 0-17 years: parents vulnerable for work, education and/or health



*18+: low education



*18-65: no job and not studying



*66+: living alone while vulnerable for health, or living with a partner with a vulnerable health."
Socioeconomic status,Most vulnerable (% 27-65),"Estimate of the percentage of 27 to 65 year olds that are most vulnerable, based on their Vulnerability Score.







The Vulnerability Score has a value between 0 and 4 and stands for the number of resources for which a person scores vulnerable (job, education, income and health). People with a Vulnerability Score of 3 or 4 are categorized as most vulnerable. They score low for at least three of the following indicators:



*standardized disposable household income in the lowest 20% of The Netherlands



*health expenditures above average, a heath related income supplement and / or sheltered accommodation



* 0-17 years: parents vulnerable for work, education and/or health



*18+: low education



*18-65: no job and not studying



*66+: living alone while vulnerable for health, or living with a partner with a vulnerable health."
Socioeconomic status,Most vulnerable 66+,"Estimate of the number of 66 year olds or older that are most vulnerable, based on their Vulnerability Score.







The Vulnerability Score has a value between 0 and 4 and stands for the number of resources for which a person scores vulnerable (job, education, income and health). People with a Vulnerability Score of 3 or 4 are categorized as most vulnerable. They score low for at least three of the following indicators:



*standardized disposable household income in the lowest 20% of The Netherlands



*health expenditures above average, a heath related income supplement and / or sheltered accommodation



* 0-17 years: parents vulnerable for work, education and/or health



*18+: low education



*18-65: no job and not studying



*66+: living alone while vulnerable for health, or living with a partner with a vulnerable health."
Socioeconomic status,Most vulnerable (% 66+),"Estimate of the percentage of 66 year olds or older that are most vulnerable, based on their Vulnerability Score.







The Vulnerability Score has a value between 0 and 4 and stands for the number of resources for which a person scores vulnerable (job, education, income and health). People with a Vulnerability Score of 3 or 4 are categorized as most vulnerable. They score low for at least three of the following indicators:



*standardized disposable household income in the lowest 20% of The Netherlands



*health expenditures above average, a heath related income supplement and / or sheltered accommodation



* 0-17 years: parents vulnerable for work, education and/or health



*18+: low education



*18-65: no job and not studying



*66+: living alone while vulnerable for health, or living with a partner with a vulnerable health."
Socioeconomic status,Activities social participation,"Number of activities in the area as registered in the Jekuntmeer-database. 







Jekuntmeer registers for the city of Amsterdam all activities that focus on social participation."
Socioeconomic status,"Activities social participation / 1,000 inh.","Number of activities  in the area as registered in the Jekuntmeer-database per 1,000 inhabitants.







Jekuntmeer registers for the city of Amsterdam all activities that focus on social participation."
Sports,Member sports organisation (% 10 yrs),Percentage of 1- year-olds that is a member of a sports organisation
Culture,Cultural facilities (1-10),"Average answer to the question: 



What is your opinion on the availability of cultural facilities in your neighbourhood? 



1 = very insufficient and 10 = very sufficient 







Numbers are only available for areas with at least 20 respondents."
Culture,Cultural facilities,"Number of cultural facilities registered in ARRA 







Registered in ARRA: Movie theatres, Theatres, Dance schools, Artistic education for amateurs,   Public libraries, Loaning centres for arts and other cultural products, Public archives, Musea, Art galleries and exhibition premises.  







SBI-codes: 59.14; 90.041; 85.52; 91.01 and 91.02.







Since 2022, O&S has adopted the methodology of LISA, the national register of companies and employees, to determine the number of companies and employees per year. Because of this the reference date is April 1st and no longer January 1st. The statistics up to and including 2011 are based on the old O&S method (ARRA-data). The new method, based on LISA-data, is availabe from 2012 and onward, making comparison between years after 2012 possible."
Culture,(Movie) theatres,"Number of movie theatres and theatres registered in ARRA with SBI-codes 59.14 en 90.041.







Since 2022, O&S has adopted the methodology of LISA, the national register of companies and employees, to determine the number of companies and employees per year. Because of this the reference date is April 1st and no longer January 1st. The statistics up to and including 2011 are based on the old O&S method (ARRA-data). The new method, based on LISA-data, is availabe from 2012 and onward, making comparison between years after 2012 possible."
Culture,Cultural education,"Number of facilities for cultural education registered in ARRA with SBI-code 85.52. That is dance schools and artistic education for amateurs.







Since 2022, O&S has adopted the methodology of LISA, the national register of companies and employees, to determine the number of companies and employees per year. Because of this the reference date is April 1st and no longer January 1st. The statistics up to and including 2011 are based on the old O&S method (ARRA-data). The new method, based on LISA-data, is availabe from 2012 and onward, making comparison between years after 2012 possible."
Culture,Loaning centres,"Number of public libraries, loaning centres for arts and public archives registered in ARRA with SBI-code 91.01.







Since 2022, O&S has adopted the methodology of LISA, the national register of companies and employees, to determine the number of companies and employees per year. Because of this the reference date is April 1st and no longer January 1st. The statistics up to and including 2011 are based on the old O&S method (ARRA-data). The new method, based on LISA-data, is availabe from 2012 and onward, making comparison between years after 2012 possible."
Sports,Sports: fitness,"Number of fitness centres registered in ARRA







SBI-codes: 93.13







Since 2022, O&S has adopted the methodology of LISA, the national register of companies and employees, to determine the number of companies and employees per year. Because of this the reference date is April 1st and no longer January 1st. The statistics up to and including 2011 are based on the old O&S method (ARRA-data). The new method, based on LISA-data, is availabe from 2012 and onward, making comparison between years after 2012 possible."
Culture,Exposition,"Number of musea, art galeries and exhibition premises registered in ARRA with SBI-code 91.02.







Since 2022, O&S has adopted the methodology of LISA, the national register of companies and employees, to determine the number of companies and employees per year. Because of this the reference date is April 1st and no longer January 1st. The statistics up to and including 2011 are based on the old O&S method (ARRA-data). The new method, based on LISA-data, is availabe from 2012 and onward, making comparison between years after 2012 possible."
Sports,Sports: facilities total,"Number of sports facilities registered in ARRA







SBI-codes: 93.1







Since 2022, O&S has adopted the methodology of LISA, the national register of companies and employees, to determine the number of companies and employees per year. Because of this the reference date is April 1st and no longer January 1st. The statistics up to and including 2011 are based on the old O&S method (ARRA-data). The new method, based on LISA-data, is availabe from 2012 and onward, making comparison between years after 2012 possible."
Sports,Sports facilities per 1.000 residents,"Number of sports facilities registered in ARRA per 1,000 in habitants







SBI-codes: 931"
Sports,Sports: accomodations,"Number of sports accommodations registered in ARRA, like swimming pools, 







SBI-codes: 93.11







Since 2022, O&S has adopted the methodology of LISA, the national register of companies and employees, to determine the number of companies and employees per year. Because of this the reference date is April 1st and no longer January 1st. The statistics up to and including 2011 are based on the old O&S method (ARRA-data). The new method, based on LISA-data, is availabe from 2012 and onward, making comparison between years after 2012 possible."
